userId,user
"852131998155538442","trader_adam#6884"
"398033008730439691","aura#7829"
"770107188638908446","stive#4292"
"524071334532087818","Andro(🍵,😼)#6050"
"400666800460791809","simmsmic#7420"
"818846184952299530","lyonzzzz#0761"
"733850772089077862","Denn#3489"
"912168160248086590","Thor 🐶#1349"
"156910196684226560","LogrisTheBard#0557"
"707952083038371953","Aminorrr#3180"
"329459717585895424","zero#2169"
"393199035915173888","aadamsx#1444"
"837530860374851644","kengyinggg#3310"
"696434076822929508","Dfriedman#6773"
"835598291487555604","riggs1977#0149"
"797121888190201866","James1111#3292"
"197852493537869824","frogmonkee#6855"
"590741026252128266","zes#7464"
"347053609768189952","visiere#1653"
"304427237388582913","Benjamin#9333"
"853261052519252008","kangster#3693"
"884385397671600138","jabbutk#1047"
"687529580726190100","firsthand#2746"
"200390252475449345","Orion#5159"
"152193877665644544","Wheeler#2382"
"281959219865845761","zeframL#6719"
"463105749044690948","bozo.eth#0913"
"245576409240698881","maletor#9144"
"875633201568161824","kirilligum#4318"
"364289669229445123","jahruhle#7560"
"117706044288925697","Jo_K#3220"
"169474957523419136","Teekannte#9368"
"648447737771327488","TatumE#4168"
"637739828376502290","r2d2#8293"
"812793345604321302","yan_the_fawn#6616"
"889440230086688799","naviSP3#5775"
"707409558515220491","Badik#8912"
"808513749597421599","Bread for the People#4246"
"164075011127246858","Urusai#1353"
"396982049535426573","scipio27#2284"
"849670788448649246","Siddhartha#9599"
"420242449433100288","realslow#5401"
"736047796108525605","Lixin#9699"
"445373372851814420","Sеrniа#6341"
"741616785098539070","BlockBound#0724"
"785963521350434916","backslash#6801"
"812423559661617162","tbaut#3273"
"821722593920548864","BitcoinGoku#0949"
"600891938203500559","cruzfernan#1597"
"381384710762397696","Azax | Polemos#1692"
"359670521429753856","Gianni#8921"
"826592310259220562","parmigiana#1142"
"382605169772199956","Wizzzardzzz#7822"
"885907313179906179","thomasr#0306"
"714191979151491083","0xJosh#9065"
"879129659017670657","zenin8#8298"
"727747464505065514","yahgmi#6937"
"337602572514754560","Magnus#3558"
"875647223558447104","Jczheng#1832"
"656550058812112958","evgeny | Re7#5721"
"631621249356791809","Hizzo#4804"
"353707044974493697","fruit#7552"
"365492768593936387","DDOcrypto#7438"
"671035046416875539","Friedefürst#8640"
"469923306779181066","Str8fish#7546"
"349723964659990528","Justin Leroux | GridPlus#7146"
"896500773532340275","dsigma_domega#2791"
"587019468442697759","bigcowdaniel#2111"
"712513911202775061","edwinthedealer#9691"
"806752647088439306","Face Shaver#3229"
"697586442355867758","ghosty#7939"
"553949082184450104","MattJ#9786"
"725020283135590450","nkrishang#0774"
"854242537932849163","ColinLy#3014"
"857305536374112276","phoenix100#7829"
"298973170440994816","gwenace#4655"
"626074584663195669","Afrik#1914"
"538906336075710474","BobZedF | UTC+1#2556"
"886933149047730188","Alfie#4285"
"398171218592661506","aaaaaaaaaa#7020"
"817184758764929044","KinHansQ#7252"
"314465369592954880","pratinhas#5398"
"861459836020195340","TheRugPush#3794"
"360793266939101195","0xWinger#1093"
"718320496524918826","RickyRich22#5694"
"804218120558084128","Ely#0384"
"825437532472213514","gibsgibs35#2870"
"786363045945409567","Kolossus#5343"
"805891699493568573","Sorolla_ 🏴#1104"
"348939545104089098","┻┳ dragos#2286"
"391853010826821634","Birđ#4094"
"535162349967900694","EvanMair#6029"
"737529029506105384","smokey#0103"
"810944608543571979","greenmoon#2007"
"653166831149776918","cici#0122"
"830620024116609044","lipman#7206"
"417191956062666774","fewture#0193"
"754807929777029191","Cardi B#0862"
"902245012576829440","SushiMale#3858"
"354800428892028930","Dexx#1055"
"311316811515953154","Theory#3695"
"349586001892605954","peita#0935"
"745287787502108700","KingSuper#3702"
"434081468067741698","George#5238"
"624920373372125194","limez#3783"
"800440264527183905","mister#8731"
"395373169495769088","Xsp1d#3413"
"339090480719724544","soap#2131"
"643941274730364932","MalikusCZ#8294"
"909094830599188491","Garfield#9628"
"300908205590970369","Saint Rat Wrongtail#1632"
"877731107863412767","Chloe88888#3956"
"695297998652964986","zzxiv#0536"
"804309251450470467","BruceL ｜Buji DAO#5752"
"828707691111120904","zippo99#2478"
"835446810847346691","KovalLizz#0037"
"307724699918401539","TOMJ#7639"
"380982159462105091","kuvalis#0219"
"275215496134262794","Psychonaut#4975"
"293452142927151106","XTC0r#6211"
"648966811278376990","Sas0#0001"
"883183274162270208","Lion-#7232"
"901307698019201034","eyeballman#2642"
"356101217862287363","justinano#8937"
"380452442044628992","Mars1977 (3,3)#5217"
"859848408620597298","Santa#3990"
"705830906891599912","KirkusMaximus#1163"
"897045519002632192","jickle#1127"
"687383825994874890","itsmechase#1197"
"342705195979112448","schnura.eth#5624"
"702322952808431679","Kevin | UMA#1883"
"816813086315905036","Socrates0x#4560"
"224548412404531200","bhenry#5727"
"408129213795663874","Quijote#1337"
"776842842127073290","PopFizzleSwoosh#3376"
"193077840290381825","waterchiller#3454"
"474219781550243840","LI#6526"
"205659928604442624","Sath#5534"
"809475147588304948","dansk#8349"
"402843313734025218","RallyMonkey#3596"
"577529505871167498","waynebruce#4506"
"550852355046899723","Sisyphus#9051"
"143446686147149825","Bilbo_Bondbags#1178"
"736611059087048764","decibels42#9916"
"796094537163997245","pavel#3939"
"471513530596851722","James Simpson | mStable#0233"
"820227444011040819","totojack#9079"
"744459442245992449","fusion#3719"
"687777719701995670","cannykins#9560"
"829866553176490024","defi3#3941"
"748189894534365205","0huahua#5115"
"591792963902767104","freedom#9008"
"327952558683324416","Batoosh#1979"
"856790978286583809","PIGhaha#9106"
"207304059386855425","justreem#7975"
"822032555355668490","Dash#1947"
"821876867303997460","Drew-Osumi#2839"
"708650007913562185","crypto_junkie#6084"
"698395340943917099","joedirt#5317"
"471356765666279424","Admiral#8818"
"640068184497586200","c0ncepT 🕸#0312"
"396876993238401024","chamisulfresh#6516"
"859102766945665034","achilleas#3414"
"375740240951902220","Sam H#6110"
"710731410150916127","Kuba#6727"
"826263737707134976","元宇宙J船长#7797"
"822189811414466590","🐲 defibae 🧋#9776"
"893219978935926856","CronenbergMarky#4216"
"756522093662830673","Chimera#7234"
"717259603104104478","coinfreak#9165"
"322093802435379201","saimc#1476"
"812014281386229782","worththefightboxing#5965"
"317182243552493569","Munam Wasi#6375"
"502083628147277825","peperonison#5496"
"837251226529300491","sunnyman9998#9586"
"869866139050717236","yimu#0735"
"629226421079769089","shadrisch#8153"
"907214161346461717","AKA#7307"
"364773503074959360","danga#0779"
"815508469708095518","ttin0x#7997"
"237821148665085952","Baxendale#9096"
"831448779366072381","Cardinalchase#1942"
"415894376154136586","Oleg Kaizen#9852"
"423157819156463617","eXecz#3197"
"755003980689702984","CindyCheng#6510"
"760018183590510603","YellowOwl#1789"
"371208610337914891","FranSar#5868"
"903592649439731722","annis#2632"
"811313524097679411","fynndus#2091"
"386108071463878666","Nakameowdough#0054"
"894891976007221248","paper#6343"
"700497148688597073","thiccfarmer | Yunt#0559"
"760224745119154216","Definewbe#2356"
"545664408722997258","descipher#2098"
"190797419858886657","Kodansha#4820"
"175545621464219648","reee#8937"
"845629647957524531","mrelephant#4286"
"890804253906571265","Howard Peng#5260"
"583634981062967296","Yulesa | (GMT -3)#6593"
"364171022863433730","mazzi#8519"
"835135979207131177","agAgent1x1#1074"
"850048344110006272","jdphil#8726"
"781791173765103646","glen#3926"
"902709420297961514","DD888888#4783"
"393914155205263360","0xWouimbly#4120"
"346269455673720833","LLANGG#7088"
"339566181633622017","nacdelpicryl#3849"
"833007741911302186","Xuanhao Wang#5791"
"266577020429926400","jakel#0001"
"808321739430953020","0x_M#8419"
"803157569610186762","Mora#3827"
"413003063461281793","teawaterwire (theo)#9064"
"408386951092109322","Coleman#7972"
"740558581040021585","Gatling#9229"
"394855351368941578","Nate(σ, σ)#8238"
"848366279785709598","insider#7291"
"196456670170185728","KimJungKill#6390"
"709947362105098271","Bahjiggyboo#9991"
"694749598593318993","crashandlearn#7431"
"701061146802782210","Spaghetti dev#9116"
"898427145100091402","sozin#9326"
"653995291690795016","hiro protagonist#4571"
"752354873105711145","Mike987#1817"
"770381746960334898","hougi_pat#3525"
"809715133399040014","Ajewole26#5784"
"413273714457837568","robzer#9513"
"792001068917194772","cz927986932#8255"
"550396459783028751","Ethernaut#2991"
"399551019324801024","jcch#3204"
"910856039744819200","Yuyan#4907"
"426375238692110346","Izad#9664"
"204580571798700032","mjade#3094"
"836416494744502313","dong50uk#6535"
"395010141914660875","Payom Dousti#2594"
"759293834349379614","white_heart#9284"
"474612792976998401","Zdesu#2870"
"857301345475756042","dng2403#0963"
"202157081850150913","bvalosek#9578"
"821780439525883925","Jerryzli#1454"
"416724321973698610","Seliciu#0980"
"542699919887040512","Optisman#9737"
"283484262638944256","2Cu4#3825"
"916074393032073236","aquaticretain#5148"
"875060517373370388","JMil Ξ s#6706"
"747000285590716536","rektmofo#4849"
"850952108471615499","IZ#0950"
"443123679866519552","FrankB#5720"
"455520119188357140","Bruno Rodrigues#1710"
"446383180812124201","diegows#8606"
"834980673097039892","VinceElmo#8415"
"785238453444149278","sdb#0137"
"789758155265409045","DL#9092"
"358222688524697604","Roy#5380"
"752782258259099668","hackos#0011"
"143567134709121024","Kyon.Ada │UMA#5908"
"732948507828420711","Dima P2PB2B#3228"
"780939902186684427","Théo Clochard | mStable#0731"
"882607964291203102","Millia#7275"
"811973196416155688","agAgent003#1966"
"883734703377616996","Chillin#6948"
"748898848453165156","jameson#6541"
"797291046597951538","gnvv#5613"
"693236478762811392","Lugia#6936"
"384607333550129152","brando#1049"
"819741314585329686","UncleReed#4675"
"730554968913870878","BigBoyLeverage#8487"
"826059089267785738","jeffxu88#8888"
"897049648743714846","alphon#1805"
"500769475986194453","mcsquared#4106"
"708008773138251906","odette#1520"
"331098573737426967","Bull#3722"
"905847949442027611","Lucky Charm Cat#3168"
"334464345922600961","CommissionerG#5901"